Altium Designer Pick and Place Locations
C:\Users\jiang\Desktop\Pomo\Pomo_DriverBoard\Hardware\V2\Pick Place for Panelization.csv

========================================================================================================================
File Design Information:

Date:       15/08/26
Time:       17:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R39","NC/0R","TopLayer","Resistor-0402","10.5580","12.3444","270","Resistor-0402","10.5580","12.3444","10.5580","12.8524"
"R38","NC/7.5K","TopLayer","Resistor-0402","11.3203","12.3444","270","Resistor-0402","11.3203","12.3444","11.3203","12.8524"
"C45","0R/100nF","TopLayer","Capacitor-0402","9.7958","12.3444","270","CL05B104KB5NNNC","9.7958","12.3444","9.7958","12.8524"
"U6","TXS0104ERGYR","TopLayer","TXS0104E-VQFN-14-3.5x3.5mm","21.2478","15.9248","0","TXS0104ERGYR","21.2478","15.9248","20.4978","17.5748"
"R37","10K","TopLayer","Resistor-0402","22.6314","12.4714","270","Resistor-0402","22.6314","12.4714","22.6314","12.9794"
"R33","10K","TopLayer","Resistor-0402","24.2824","9.4234","90","Resistor-0402","24.2824","9.4234","24.2824","8.9154"
"R32","10K","TopLayer","Resistor-0402","21.1074","26.4414","90","Resistor-0402","21.1074","26.4414","21.1074","25.9334"
"R31","0R/NC","TopLayer","Resistor-0402","24.2824","7.2644","270","Resistor-0402","24.2824","7.2644","24.2824","7.7724"
"J2","E0470A01-AF-S","TopLayer","E0470A01-AF-S","27.0219","16.4989","90","AFC01-S40FCA-00","28.3719","16.4989","25.6719","26.2489"
"C44","100nF","TopLayer","Capacitor-0402","21.6154","18.5069","180","100nF/X5R/25V","21.6154","18.5069","22.1234","18.5069"
"C43","100nF","TopLayer","Capacitor-0402","19.8374","18.5069","180","100nF/X5R/25V","19.8374","18.5069","20.3454","18.5069"
"J3","CONN_HDR_3X4_2.54mm","TopLayer","CONN_HDR_3X4_2.54mm","4.0894","27.8384","270","","4.0894","27.8384","1.5494","31.6484"
"X1","27MHz","TopLayer","Oscillator-2016","19.4564","24.6039","270","OC7EL89CJO-113YLC-27M","19.4564","24.6039","18.9064","25.3039"
"USB1","TYPE-C","TopLayer","TYPE-C-16P","5.3554","17.5204","270","GT-USB-7010ASV","7.8754","17.5204","2.8354","13.1954"
"U5","TXS0108ERGYR","TopLayer","TXS0108E-VQFN-20-3.5x4.5mm","13.9994","15.9264","270","TXS0108ERGYR","13.9994","15.9264","16.1494","16.6764"
"U4","GW1NSR-LV4CQN48PC7/I6","TopLayer","GW1NSR-LV4CQN48P-QFN-48_6X6","14.7224","21.9254","0","GW1NSR-LV4CQN48PC7/I6","14.7224","21.9254","11.8724","24.1254"
"U3","EA3036CQBR","TopLayer","EA3036-QFN-20","4.4704","4.5974","270","EA3036CQBR","4.4704","4.5974","5.2704","6.1474"
"U2","SY6283ADRC","TopLayer","SY6283ADRC-dfn-4_1.2x1.6mm","4.3434","11.3284","0","SY6283ADRC","4.3434","11.3284","3.7434","11.5784"
"U1","TPS65185/SY7636A","TopLayer","TPS65185-VQFN-48_6x6mm","16.0769","7.6104","270","","16.0769","7.6104","18.2769","10.4854"
"R36","4.7K/NC","TopLayer","Resistor-0402","17.8054","16.2817","360","Resistor-0402","17.8054","16.2817","17.2974","16.2817"
"R35","4.7K/NC","TopLayer","Resistor-0402","17.8054","15.5197","360","Resistor-0402","17.8054","15.5197","17.2974","15.5197"
"R34","10K","TopLayer","Resistor-0402","10.5664","15.9002","90","Resistor-0402","10.5664","15.9002","10.5664","15.3922"
"R30","49.9R","TopLayer","Resistor-0402","19.4564","23.0206","360","Resistor-0402","19.4564","23.0206","18.9484","23.0206"
"R29","4.7K","TopLayer","Resistor-0402","10.5664","21.2344","270","Resistor-0402","10.5664","21.2344","10.5664","21.7424"
"R28","100R","TopLayer","Resistor-0402","18.4404","28.3464","360","Resistor-0402","18.4404","28.3464","17.9324","28.3464"
"R27","100R","TopLayer","Resistor-0402","16.6624","28.3464","360","Resistor-0402","16.6624","28.3464","16.1544","28.3464"
"R26","100R","TopLayer","Resistor-0402","13.1064","28.3464","360","Resistor-0402","13.1064","28.3464","12.5984","28.3464"
"R25","100K 1%","TopLayer","Resistor-0402","5.3974","7.2384","360","Resistor-0402","5.3974","7.2384","4.8894","7.2384"
"R24","100R","TopLayer","Resistor-0402","11.3282","28.3464","180","Resistor-0402","11.3282","28.3464","11.8362","28.3464"
"R23","100R","TopLayer","Resistor-0402","14.8844","28.3464","360","Resistor-0402","14.8844","28.3464","14.3764","28.3464"
"R22","200K 1%","TopLayer","Resistor-0402","5.3974","8.0007","360","Resistor-0402","5.3974","8.0007","4.8894","8.0007"
"R21","100K","TopLayer","Resistor-0402","7.5564","4.4444","180","Resistor-0402","7.5564","4.4444","8.0644","4.4444"
"R20","100K 1%","TopLayer","Resistor-0402","3.4924","7.2384","180","Resistor-0402","3.4924","7.2384","4.0004","7.2384"
"R19","100K","TopLayer","Resistor-0402","1.3334","4.8256","360","Resistor-0402","1.3334","4.8256","0.8254","4.8256"
"R18","100K","TopLayer","Resistor-0402","1.3334","4.0634","360","Resistor-0402","1.3334","4.0634","0.8254","4.0634"
"R17","100K 1%","TopLayer","Resistor-0402","3.4924","8.0007","180","Resistor-0402","3.4924","8.0007","4.0004","8.0007"
"R16","15K 1%","TopLayer","Resistor-0402","3.3654","1.5234","270","Resistor-0402","3.3654","1.5234","3.3654","2.0314"
"R15","68K 1%","TopLayer","Resistor-0402","4.1277","1.5234","270","Resistor-0402","4.1277","1.5234","4.1277","2.0314"
"R14","100K","TopLayer","Resistor-0402","2.2792","11.8555","180","Resistor-0402","2.2792","11.8555","2.7872","11.8555"
"R13","5.1K","TopLayer","Resistor-0402","9.5504","15.9004","90","Resistor-0402","9.5504","15.9004","9.5504","15.3924"
"R12","5.1K","TopLayer","Resistor-0402","9.5504","19.4564","90","Resistor-0402","9.5504","19.4564","9.5504","18.9484"
"R11","5.1M","TopLayer","Resistor-0402","11.2049","5.5886","180","Resistor-0402","11.2049","5.5886","11.7129","5.5886"
"R10","52.3K/59K","TopLayer","Resistor-0402","17.6784","0.7620","180","Resistor-0402","17.6784","0.7620","18.1864","0.7620"
"R9","1M/750K","TopLayer","Resistor-0402","16.1236","2.8347","90","Resistor-0402","16.1236","2.8347","16.1236","2.3267"
"R8","4.7K/NC","TopLayer","Resistor-0402","11.2049","6.3508","180","Resistor-0402","11.2049","6.3508","11.7129","6.3508"
"R7","47.5K/21K","TopLayer","Resistor-0402","17.6784","1.5240","360","Resistor-0402","17.6784","1.5240","17.1704","1.5240"
"R6","1M/510K","TopLayer","Resistor-0402","19.2022","2.8194","90","Resistor-0402","19.2022","2.8194","19.2022","2.3114"
"R5","4.7K/NC","TopLayer","Resistor-0402","11.2049","7.1131","180","Resistor-0402","11.2049","7.1131","11.7129","7.1131"
"R4","5.1M","TopLayer","Resistor-0402","12.5933","12.8842","180","Resistor-0402","12.5933","12.8842","13.1013","12.8842"
"R3","5.1M","TopLayer","Resistor-0402","15.2657","12.3444","90","Resistor-0402","15.2657","12.3444","15.2657","11.8364"
"R2","43.2K/36K","TopLayer","Resistor-0402","20.9839","9.5655","180","Resistor-0402","20.9839","9.5655","21.4919","9.5655"
"R1","10K/NC","TopLayer","Resistor-0402","20.9839","11.0900","360","Resistor-0402","20.9839","11.0900","20.4759","11.0900"
"L5","1.5uH","TopLayer","Inductor-2016","7.4168","7.9756","270","FTC201610S1R5MBCA","7.4168","7.9756","7.4168","8.6256"
